ispitanik,dob,dobna_skupina_sifra,dobna_skupina,minute_dnevno,povjerenje
I001,22,1,18 do 24,69,6
I002,22,1,18 do 24,53,8
I003,24,1,18 do 24,83,10
I004,22,1,18 do 24,67,7
I005,22,1,18 do 24,87,5
I006,18,1,18 do 24,38,7
I007,23,1,18 do 24,93,7
I008,20,1,18 do 24,115,4
I009,20,1,18 do 24,160,7
I010,24,1,18 do 24,65,7
I011,24,1,18 do 24,83,9
I012,21,1,18 do 24,38,7
I013,19,1,18 do 24,40,5
I014,19,1,18 do 24,60,6
I015,18,1,18 do 24,112,4
I016,19,1,18 do 24,101,5
I017,24,1,18 do 24,47,10
I018,21,1,18 do 24,136,8
I019,24,1,18 do 24,190,5
I020,22,1,18 do 24,37,9
I021,22,1,18 do 24,73,8
I022,19,1,18 do 24,34,8
I023,22,1,18 do 24,59,7
I024,19,1,18 do 24,37,6
I025,21,1,18 do 24,138,6
I026,21,1,18 do 24,69,8
I027,20,1,18 do 24,54,9
I028,18,1,18 do 24,75,8
I029,19,1,18 do 24,71,8
I030,24,1,18 do 24,38,5
I031,21,1,18 do 24,39,6
I032,23,1,18 do 24,53,3
I033,18,1,18 do 24,23,6
I034,22,1,18 do 24,60,6
I035,19,1,18 do 24,155,8
I036,18,1,18 do 24,66,7
I037,23,1,18 do 24,29,6
I038,22,1,18 do 24,46,5
I039,23,1,18 do 24,100,7
I040,18,1,18 do 24,88,6
I041,21,1,18 do 24,55,3
I042,18,1,18 do 24,50,6
I043,21,1,18 do 24,57,8
I044,22,1,18 do 24,58,7
I045,24,1,18 do 24,169,7
I046,20,1,18 do 24,65,7
I047,23,1,18 do 24,69,8
I048,22,1,18 do 24,203,7
I049,20,1,18 do 24,141,7
I050,24,1,18 do 24,104,3
I051,21,1,18 do 24,64,8
I052,23,1,18 do 24,76,8
I053,23,1,18 do 24,248,4
I054,20,1,18 do 24,59,6
I055,24,1,18 do 24,49,3
I056,20,1,18 do 24,92,6
I057,24,1,18 do 24,136,5
I058,19,1,18 do 24,176,3
I059,18,1,18 do 24,34,3
I060,22,1,18 do 24,80,8
I061,20,1,18 do 24,132,7
I062,22,1,18 do 24,103,4
I063,20,1,18 do 24,97,6
I064,20,1,18 do 24,168,5
I065,22,1,18 do 24,61,6
I066,22,1,18 do 24,122,7
I067,24,1,18 do 24,46,7
I068,23,1,18 do 24,175,9
I069,18,1,18 do 24,22,8
I070,22,1,18 do 24,41,7
I071,21,1,18 do 24,85,4
I072,19,1,18 do 24,55,4
I073,22,1,18 do 24,50,5
I074,23,1,18 do 24,106,6
I075,18,1,18 do 24,40,7
I076,22,1,18 do 24,41,9
I077,19,1,18 do 24,79,6
I078,23,1,18 do 24,58,4
