godina,eurostat_eur_clv,maddison_int2011,pwt_usd2017,svjetska_banka_usd2015,tica_gk1990
1910,..,..,..,..,1263
1911,..,..,..,..,1299
1912,..,..,..,..,1336
1913,..,..,..,..,1373
1920,..,..,..,..,1225
1921,..,..,..,..,1225
1922,..,..,..,..,1263
1923,..,..,..,..,1326
1924,..,..,..,..,1364
1925,..,..,..,..,1428
1926,..,..,..,..,1516
1927,..,..,..,..,1453
1928,..,..,..,..,1554
1929,..,..,..,..,1655
1930,..,..,..,..,1592
1931,..,..,..,..,1516
1932,..,..,..,..,1364
1933,..,..,..,..,1390
1934,..,..,..,..,1428
1935,..,..,..,..,1364
1936,..,..,..,..,1516
1937,..,..,..,..,1516
1938,..,..,..,..,1655
1939,..,..,..,..,1718
1947,..,..,..,..,1554
1948,..,..,..,..,1844
1949,..,..,..,..,2009
1950,..,..,..,..,1844
1951,..,..,..,..,1882
1952,..,2738,..,..,1655
1953,..,2952,..,..,1890
1954,..,3193,..,..,2181
1955,..,3749,..,..,2298
1956,..,3564,..,..,2238
1957,..,4203,..,..,2561
1958,..,4285,..,..,2706
1959,..,4640,..,..,2872
1960,..,5067,..,..,3085
1961,..,5404,..,..,3236
1962,..,5509,..,..,3259
1963,..,6059,..,..,3535
1964,..,6591,..,..,3798
1965,..,6741,..,..,3969
1966,..,7184,..,..,4141
1967,..,7382,..,..,4212
1968,..,7667,..,..,4285
1969,..,8209,..,..,4633
1970,..,8751,..,..,4871
1971,..,9414,..,..,5413
1972,..,9631,..,..,5511
1973,..,9969,..,..,5630
1974,..,10786,..,..,6366
1975,..,11053,..,..,6315
1976,..,11469,..,..,6494
1977,..,12385,..,..,6965
1978,..,13265,..,..,7349
1979,..,13994,..,..,7748
1980,..,14193,..,..,7909
1981,..,14182,..,..,8006
1982,..,14123,..,..,8117
1983,..,13841,..,..,8158
1984,..,14104,..,..,8342
1985,..,14067,..,..,8118
1986,..,14416,..,..,8364
1987,..,14362,..,..,8343
1988,..,14207,..,..,8266
1989,..,13959,..,..,8155
1990,..,12948,13720.0630318627,9754.64902543885,..
1991,..,10296.1907490574,10899.3530308699,7842.55247755837,..
1992,..,9331.89265228301,9573.35563423358,7095.22695946955,..
1993,..,8739.54023943057,8944.0842801591,6490.8345795673,..
1994,..,9352.58398283599,9685.56487361101,6795.71249379572,..
1995,6990,10180.2515340075,10301.1315848583,7304.70928464758,..
1996,7520,11030.0793094036,10736.7775314937,7857.99236434772,..
1997,8020,11997.5930919162,11729.5420862474,8383.47054293443,..
1998,8210,12476.0465258677,12132.6993259767,8577.50694428774,..
1999,8170,12579.8767751366,12464.7653285012,8541.53260365793,..
2000,8490,13244.540749737,13427.4178466376,8880.26980689876,..
2001,9100,13817.6807648672,14111.1784197184,9515.73569793698,..
2002,9620,14683.8377031207,15212.6993863914,10062.0396800621,..
2003,10150,15740.4985591124,16221.2384894148,10619.3078243865,..
2004,10570,16628.574443674,16700.5967114306,11059.0980614364,..
2005,11020,17581.3583511818,18152.6261187038,11522.7905248265,..
2006,11570,18707.4908615648,19902.8864032642,12104.0421469867,..
2007,12160,19984.0374311963,21548.1502580216,12717.9875997872,..
2008,12400,20717.3157388307,22912.4751213977,12970.4376964616,..
2009,11570,19501.5885947662,21806.9157104935,12099.5521781656,..
2010,11440,19511.3503059546,21639.4552454678,11965.0049285028,..
2011,11470,19813,22431.8896778163,11993.0713179162,..
2012,11270,19413.8924362517,22540.7337423223,11780.4742767284,..
2013,11340,19402.9380243738,21535.8204991444,11838.2152450357,..
2014,11370,19403.5946624681,21477.5272634644,11862.7609491821,..
2015,11760,20025.7534646876,22547.4630977676,12283.7840620053,..
2016,12320,20915.2273189076,23327.5948878036,12848.419539107,..
2017,12910,21852.0205680614,25359.7003196619,13485.3012514274,..
2018,13460,22678.0343509445,25104.5393344729,14060.9874833125,..
2019,14020,23590.2774566472,26001.0011520944,14641.663970693,..
2020,12980,21672.4779377293,..,13545.4881162417,..
2021,14750,25059.9466649754,..,15395.1287782758,..
2022,15900,26986.7513446859,..,16618.1111874724,..
2023,16490,..,..,17225.154484029,..
2024,17060,..,..,17854.2091012685,..
2025,17590,..,..,..,..
