godina,bdp_pc_eur,segment,granulacija,indeks_2015_100,prekid
1870,684.969801266357,tica,benchmark,5.82457314002004,ne
1880,809.922833006489,tica,benchmark,6.8870989201232,ne
1890,924.652434876973,tica,benchmark,7.86269077276338,ne
1900,1087.09137613914,tica,benchmark,9.24397428689748,ne
1910,1434.68799170715,tica,annual,12.199727820639,ne
1911,1475.58171118573,tica,annual,12.5474635304909,ne
1912,1517.61136731651,tica,annual,12.9048585656165,ne
1913,1559.64102344728,tica,annual,13.2622536007422,ne
1920,1391.52239892419,tica,annual,11.8326734602397,ne
1921,1391.52239892419,tica,annual,11.8326734602397,ne
1922,1434.68799170715,tica,annual,12.199727820639,ne
1923,1506.25200079468,tica,annual,12.8082653128799,ne
1924,1549.41759357763,tica,annual,13.1753196732792,ne
1925,1622.11753931734,tica,annual,13.7935164907937,ne
1926,1722.07996470945,tica,annual,14.6435371148763,ne
1927,1650.51595562192,tica,annual,14.0349996226354,ne
1928,1765.2455574924,tica,annual,15.0105914752755,ne
1929,1879.97515936289,tica,annual,15.9861833279157,ne
1930,1808.41115027536,tica,annual,15.3776458356748,ne
1931,1722.07996470945,tica,annual,14.6435371148763,ne
1932,1549.41759357763,tica,annual,13.1753196732792,ne
1933,1578.95194653439,tica,annual,13.4264621303945,ne
1934,1622.11753931734,tica,annual,13.7935164907937,ne
1935,1549.41759357763,tica,annual,13.1753196732792,ne
1936,1722.07996470945,tica,annual,14.6435371148763,ne
1937,1722.07996470945,tica,annual,14.6435371148763,ne
1938,1879.97515936289,tica,annual,15.9861833279157,ne
1939,1951.53916845042,tica,annual,16.5947208201566,ne
1947,1765.2455574924,tica,annual,15.0105914752755,ne
1948,2094.66718662548,tica,annual,17.8117958046384,ne
1949,2282.09673423567,tica,annual,19.4055844747931,ne
1950,2094.66718662548,tica,annual,17.8117958046384,ne
1951,2137.83277940843,tica,annual,18.1788501650377,ne
1952,1879.97515936289,maddison,annual,15.9861833279157,ne
1953,2026.9125896418,maddison,annual,17.2356512724643,ne
1954,2192.38885458207,maddison,annual,18.6427623688951,ne
1955,2574.15152390484,maddison,annual,21.8890435706194,ne
1956,2447.12617529924,maddison,annual,20.808896048463,ne
1957,2885.87859561805,maddison,annual,24.5397839763439,ne
1958,2942.1817231081,maddison,annual,25.0185520672457,ne
1959,3185.93306772966,maddison,annual,27.0912675827352,ne
1960,3479.1213047815,maddison,annual,29.5843648365774,ne
1961,3710.51342629549,maddison,annual,31.5519849174786,ne
1962,3782.60889442299,maddison,annual,32.1650416192431,ne
1963,4160.25182270991,maddison,annual,35.376291009438,ne
1964,4525.53552788926,maddison,annual,38.4824449650447,ne
1965,4628.52905378569,maddison,annual,39.3582402532797,ne
1966,4932.70326693316,maddison,annual,41.9447556712003,ne
1967,5068.65472111645,maddison,annual,43.1008054516705,ne
1968,5264.34242031967,maddison,annual,44.7648164993169,ne
1969,5636.49236055878,maddison,annual,47.9293568074726,ne
1970,6008.64230079789,maddison,annual,51.0938971156283,ne
1971,6463.87368526013,maddison,annual,54.9649122896269,ne
1972,6612.87098605696,maddison,annual,56.2318961399402,ne
1973,6844.94973107693,maddison,annual,58.2053548560963,ne
1974,7405.9211354595,maddison,annual,62.9755198593495,ne
1975,7589.24961155515,maddison,annual,64.5344354724077,ne
1976,7874.88499004125,maddison,annual,66.963307738446,ne
1977,8503.83212151547,maddison,annual,72.3114976319343,ne
1978,9108.06080677454,maddison,annual,77.4494966562461,ne
1979,9608.60934263121,maddison,annual,81.7058617570681,ne
1980,9745.24742032047,maddison,annual,82.8677501727932,ne
1981,9737.69456175474,maddison,annual,82.8035251849893,ne
1982,9697.18377490214,maddison,annual,82.4590457049502,ne
1983,9503.55594621685,maddison,annual,80.8125505630684,ne
1984,9684.13792828859,maddison,annual,82.3481116351071,ne
