izvor,objave,interakcije,doseg,godine_prisutnosti
hkm.hr,56500,3090701,42572040,6
slobodnadalmacija.hr,12696,1494818,56200758,6
laudato.hr,11979,713352,8906712,6
vecernji.hr,11303,1630331,65587791,6
index.hr,10267,3649614,169533156,6
net.hr,9955,939468,82407226,6
novilist.hr,9194,463758,12453714,6
crovijesti.com,9175,0,2752500,3
jutarnji.hr,9035,1639869,81281852,6
bitno.net,8644,1519813,73391717,6
24sata.hr,7996,1751581,60623964,6
novizivot.net,7496,3796197,46764999,6
direktno.hr,7362,478096,18411280,6
tportal.hr,6814,233714,24238033,6
narod.hr,6731,694452,16674221,6
dnevno.hr,6561,3347071,74558237,6
dnevnik.hr,6298,1139617,70809608,6
glasistre.hr,6252,166836,4272951,6
hrt.hr,6065,150732,5822070,6
glas-slavonije.hr,5672,58485,1116279,6
djos.hr,5314,20664,367674,6
forum.hr,5263,0,0,6
prigorski.hr,5217,191670,3263493,6
nacional.hr,4368,191165,3672135,6
dalmatinskiportal.hr,4099,507926,13330926,6
dalmacijadanas.hr,3990,402781,7453359,6
magicus.info,3952,16973,631330,6
telegram.hr,3896,1344137,35866259,6
infokiosk.net,3488,66,13074,4
dragovoljac.com,3456,12593,374139,6
croativ.net,3319,190886,4012035,6
zagreb.info,3129,427928,12661012,6
smn.hr,2929,120063,1597018,6
zagorje.com,2600,211239,5086737,6
hrvatskonebo.org,2512,90509,1703835,6
kamenjar.com,2510,207507,4186373,6
biskupija-varazdinska.hr,2482,32995,466963,6
7dnevno.hr,2340,27142,841400,6
medjimurski.hr,2239,184010,3573222,5
youtube.com,2197,0,0,5
sibenik.in,2167,150685,2252628,6
n1info.hr,2121,223663,3811349,6
novine.hr,2084,3072,134110,6
redovnistvo.hr,2084,2416,57060,6
dulist.hr,2065,181908,3339834,6
034portal.hr,2030,108775,3218835,6
mnovine.hr,1996,343170,13875030,6
antenazadar.hr,1983,58163,1610010,6
sjever.hr,1971,46739,1238201,5
znet.hr,1912,9915,892797,3
maxportal.hr,1869,409918,6916194,6
radio-medjugorje.com,1797,222972,2657961,6
story.hr,1797,146616,3390676,6
inmemoriam.hr,1794,7259,165051,6
