godina,dobna_skupina,tip_putovanja,destinacija,trajanje,putovanja,nocenja,izdaci_eur,izdaci_hrk
2024,Ukupno,Privatno,Ukupno,1 i više noćenja,5462439,30069028,2266703189,-
2024,Ukupno,Privatno,Ukupno,1 - 3 noćenja,2963117,6076619,726558321,-
2024,Ukupno,Privatno,Ukupno,4 i više noćenja,2499322,23992409,1540144868,-
2024,Ukupno,Privatno,Inozemstvo,1 i više noćenja,1877176,9852232,1033858756,-
2024,Ukupno,Privatno,Inozemstvo,1 - 3 noćenja,1007435,2073141,315491515,-
2024,Ukupno,Privatno,Inozemstvo,4 i više noćenja,869741,7779090,718367241,-
2024,Ukupno,Privatno,Hrvatska,1 i više noćenja,3585264,20216797,1232844432,-
2024,Ukupno,Privatno,Hrvatska,1 - 3 noćenja,1955682,4003478,411066806,-
2024,Ukupno,Privatno,Hrvatska,4 i više noćenja,1629581,16213319,821777627,-
2024,Ukupno,Poslovno,Ukupno,1 i više noćenja,598223,1980348,415411399,-
2024,Ukupno,Poslovno,Ukupno,1 - 3 noćenja,454725,864275,224774617,-
2024,Ukupno,Poslovno,Ukupno,4 i više noćenja,143499,1116073,190636782,-
2024,Ukupno,Poslovno,Inozemstvo,1 i više noćenja,246564,1104860,242628923,-
2024,Ukupno,Poslovno,Inozemstvo,1 - 3 noćenja,158159,324749,103391889,-
2024,Ukupno,Poslovno,Inozemstvo,4 i više noćenja,88406,780111,139237034,-
2024,Ukupno,Poslovno,Hrvatska,1 i više noćenja,351659,875488,172782476,-
2024,Ukupno,Poslovno,Hrvatska,1 - 3 noćenja,296566,539526,121382729,-
2024,Ukupno,Poslovno,Hrvatska,4 i više noćenja,55093,335962,51399748,-
2024,15 - 29,Privatno,Ukupno,1 i više noćenja,1258122,5865170,580069979,-
2024,15 - 29,Privatno,Ukupno,1 - 3 noćenja,715475,1468980,194125840,-
2024,15 - 29,Privatno,Ukupno,4 i više noćenja,542647,4396190,385944139,-
2024,15 - 29,Privatno,Inozemstvo,1 i više noćenja,514012,2610242,323829230,-
2024,15 - 29,Privatno,Inozemstvo,1 - 3 noćenja,263762,509641,81943550,-
2024,15 - 29,Privatno,Inozemstvo,4 i više noćenja,250250,2100602,241885680,-
2024,15 - 29,Privatno,Hrvatska,1 i više noćenja,744110,3254927,256240748,-
2024,15 - 29,Privatno,Hrvatska,1 - 3 noćenja,451712,959339,112182290,-
2024,15 - 29,Privatno,Hrvatska,4 i više noćenja,292397,2295588,144058459,-
2024,15 - 29,Poslovno,Ukupno,1 i više noćenja,121018,509425,109373386,-
2024,15 - 29,Poslovno,Ukupno,1 - 3 noćenja,86094,174039,48978793,-
2024,15 - 29,Poslovno,Ukupno,4 i više noćenja,34924,335385,60394593,-
2024,15 - 29,Poslovno,Inozemstvo,1 i više noćenja,30115,293700,55876684,-
2024,15 - 29,Poslovno,Inozemstvo,1 - 3 noćenja,11211,24841,11036582,-
2024,15 - 29,Poslovno,Inozemstvo,4 i više noćenja,18904,268859,44840102,-
2024,15 - 29,Poslovno,Hrvatska,1 i više noćenja,90903,215724,53496702,-
2024,15 - 29,Poslovno,Hrvatska,1 - 3 noćenja,74883,149198,37942211,-
2024,15 - 29,Poslovno,Hrvatska,4 i više noćenja,16020,66526,15554490,-
2024,30 - 49,Privatno,Ukupno,1 i više noćenja,2310737,10934886,984912811,-
2024,30 - 49,Privatno,Ukupno,1 - 3 noćenja,1323674,2755315,326355448,-
