godina,turist,dolasci,nocenja
2005,ukupno,9035292,50095064
2005,domaći,1387411,5278717
2005,strani,7647881,44816347
2006,ukupno,9431247,51567681
2006,domaći,1535286,5774961
2006,strani,7895961,45792720
2007,ukupno,10140870,54416481
2007,domaći,1695620,6249501
2007,strani,8445250,48166980
2008,ukupno,10250159,55465451
2008,domaći,1714756,6326943
2008,strani,8535403,49138508
2009,ukupno,10075152,54793094
2009,domaći,1529673,5711903
2009,strani,8545479,49081191
2010,ukupno,10405191,56217454
2010,domaći,1438023,5368707
2010,strani,8967168,50848747
2011,ukupno,11211033,60109631
2011,domaći,1488185,5562152
2011,strani,9722848,54547479
2012,ukupno,11598993,62507296
2012,domaći,1419098,5174490
2012,strani,10179895,57332806
2013,ukupno,12232961,64617349
2013,domaći,1441698,5094822
2013,strani,10791263,59522527
2014,ukupno,12914399,66269931
2014,domaći,1461490,5116411
2014,strani,11452909,61153520
2015,ukupno,14175484,71437476
2015,domaći,1622516,5705007
2015,strani,12552968,65732469
2016,ukupno,15463160,77918855
2016,domaći,1748590,5819465
2016,strani,13714570,72099390
2017,ukupno,17430580,86200261
2017,domaći,1837681,5978264
2017,strani,15592899,80221997
2018,ukupno,18666580,89651789
2018,domaći,2021709,6476646
2018,strani,16644871,83175143
2019,ukupno,19566146,91242931
2019,domaći,2212658,7095300
2019,strani,17353488,84147631
2020,ukupno,7001128,40794455
2020,domaći,1455849,5415391
2020,strani,5545279,35379064
2021,ukupno,12775794,70201959
2021,domaći,2134985,7354132
2021,strani,10640809,62847827
2022,ukupno,17774958,90040177
2022,domaći,2451209,7752665
2022,strani,15323749,82287512
2023,ukupno,19492931,92376832
2023,domaći,2638062,8113228
2023,strani,16854869,84263604
2024,ukupno,20246060,93683814
2024,domaći,2867339,8719930
2024,strani,17378721,84963884
2025,ukupno,20698963,94820989
2025,domaći,3084947,9208885
2025,strani,17614016,85612104
