godina,mjesec_redni,mjesec,turist,dolasci,nocenja
2005,1,Siječanj,ukupno,90457,251082
2005,1,Siječanj,domaći,53683,154092
2005,1,Siječanj,strani,36774,96990
2005,2,Veljača,ukupno,105922,279799
2005,2,Veljača,domaći,61306,162978
2005,2,Veljača,strani,44616,116821
2005,3,Ožujak,ukupno,202687,573790
2005,3,Ožujak,domaći,82651,215900
2005,3,Ožujak,strani,120036,357890
2005,4,Travanj,ukupno,390201,1131137
2005,4,Travanj,domaći,100924,268021
2005,4,Travanj,strani,289277,863116
2005,5,Svibanj,ukupno,753901,2961049
2005,5,Svibanj,domaći,148353,387876
2005,5,Svibanj,strani,605548,2573173
2005,6,Lipanj,ukupno,1127272,5844109
2005,6,Lipanj,domaći,154044,529404
2005,6,Lipanj,strani,973228,5314705
2005,7,Srpanj,ukupno,2309590,14802145
2005,7,Srpanj,domaći,214092,1265800
2005,7,Srpanj,strani,2095498,13536345
2005,8,Kolovoz,ukupno,2390602,16756645
2005,8,Kolovoz,domaći,199175,1330759
2005,8,Kolovoz,strani,2191427,15425886
2005,9,Rujan,ukupno,999663,5476803
2005,9,Rujan,domaći,120629,383216
2005,9,Rujan,strani,879034,5093587
2005,10,Listopad,ukupno,388576,1352558
2005,10,Listopad,domaći,106208,252599
2005,10,Listopad,strani,282368,1099959
2005,11,Studeni,ukupno,146308,360366
2005,11,Studeni,domaći,77560,178429
2005,11,Studeni,strani,68748,181937
2005,12,Prosinac,ukupno,130113,305581
2005,12,Prosinac,domaći,68786,149643
2005,12,Prosinac,strani,61327,155938
2006,1,Siječanj,ukupno,104044,285602
2006,1,Siječanj,domaći,65043,182511
2006,1,Siječanj,strani,39001,103091
2006,2,Veljača,ukupno,121641,317781
2006,2,Veljača,domaći,71426,187598
2006,2,Veljača,strani,50215,130183
2006,3,Ožujak,ukupno,179049,470787
2006,3,Ožujak,domaći,90596,236684
2006,3,Ožujak,strani,88453,234103
2006,4,Travanj,ukupno,491711,1490061
2006,4,Travanj,domaći,117782,316076
2006,4,Travanj,strani,373929,1173985
2006,5,Svibanj,ukupno,722022,2654783
2006,5,Svibanj,domaći,162653,443556
