godina,razina,zupanija,turist,dolasci,nocenja
2025,država,REPUBLIKA HRVATSKA,Ukupno,20698963,94820989
2025,država,REPUBLIKA HRVATSKA,Domaći,3084947,9208885
2025,država,REPUBLIKA HRVATSKA,Strani,17614016,85612104
2025,županija,ZAGREBAČKA,Ukupno,175626,299269
2025,županija,ZAGREBAČKA,Domaći,49423,92161
2025,županija,ZAGREBAČKA,Strani,126203,207108
2025,županija,KRAPINSKO-ZAGORSKA,Ukupno,215461,481451
2025,županija,KRAPINSKO-ZAGORSKA,Domaći,109571,250032
2025,županija,KRAPINSKO-ZAGORSKA,Strani,105890,231419
2025,županija,SISAČKO-MOSLAVAČKA,Ukupno,25808,56029
2025,županija,SISAČKO-MOSLAVAČKA,Domaći,11230,24799
2025,županija,SISAČKO-MOSLAVAČKA,Strani,14578,31230
2025,županija,KARLOVAČKA,Ukupno,332583,583794
2025,županija,KARLOVAČKA,Domaći,48969,91349
2025,županija,KARLOVAČKA,Strani,283614,492445
2025,županija,VARAŽDINSKA,Ukupno,114211,240072
2025,županija,VARAŽDINSKA,Domaći,50554,97850
2025,županija,VARAŽDINSKA,Strani,63657,142222
2025,županija,KOPRIVNIČKO-KRIŽEVAČKA,Ukupno,19399,46225
2025,županija,KOPRIVNIČKO-KRIŽEVAČKA,Domaći,10965,20071
2025,županija,KOPRIVNIČKO-KRIŽEVAČKA,Strani,8434,26154
2025,županija,BJELOVARSKO-BILOGORSKA,Ukupno,24275,64363
2025,županija,BJELOVARSKO-BILOGORSKA,Domaći,15323,36191
2025,županija,BJELOVARSKO-BILOGORSKA,Strani,8952,28172
2025,županija,PRIMORSKO-GORANSKA,Ukupno,3171305,15497839
2025,županija,PRIMORSKO-GORANSKA,Domaći,529707,1699270
2025,županija,PRIMORSKO-GORANSKA,Strani,2641598,13798569
2025,županija,LIČKO-SENJSKA,Ukupno,770049,2969106
2025,županija,LIČKO-SENJSKA,Domaći,83112,252839
2025,županija,LIČKO-SENJSKA,Strani,686937,2716267
2025,županija,VIROVITIČKO-PODRAVSKA,Ukupno,20936,46778
2025,županija,VIROVITIČKO-PODRAVSKA,Domaći,14706,32880
2025,županija,VIROVITIČKO-PODRAVSKA,Strani,6230,13898
2025,županija,POŽEŠKO-SLAVONSKA,Ukupno,28506,64902
2025,županija,POŽEŠKO-SLAVONSKA,Domaći,20625,45993
2025,županija,POŽEŠKO-SLAVONSKA,Strani,7881,18909
2025,županija,BRODSKO-POSAVSKA,Ukupno,53842,81857
2025,županija,BRODSKO-POSAVSKA,Domaći,20943,32130
2025,županija,BRODSKO-POSAVSKA,Strani,32899,49727
2025,županija,ZADARSKA,Ukupno,1968400,10609983
2025,županija,ZADARSKA,Domaći,320276,1362554
2025,županija,ZADARSKA,Strani,1648124,9247429
2025,županija,OSJEČKO-BARANJSKA,Ukupno,151937,304729
2025,županija,OSJEČKO-BARANJSKA,Domaći,98086,176169
2025,županija,OSJEČKO-BARANJSKA,Strani,53851,128560
2025,županija,ŠIBENSKO-KNINSKA,Ukupno,966265,5170660
2025,županija,ŠIBENSKO-KNINSKA,Domaći,215113,817243
2025,županija,ŠIBENSKO-KNINSKA,Strani,751152,4353417
2025,županija,VUKOVARSKO-SRIJEMSKA,Ukupno,97904,163202
2025,županija,VUKOVARSKO-SRIJEMSKA,Domaći,73396,116378
2025,županija,VUKOVARSKO-SRIJEMSKA,Strani,24508,46824
2025,županija,SPLITSKO-DALMATINSKA,Ukupno,3860446,18436939
2025,županija,SPLITSKO-DALMATINSKA,Domaći,413517,1457799
2025,županija,SPLITSKO-DALMATINSKA,Strani,3446929,16979140
2025,županija,ISTARSKA,Ukupno,4990885,28328628
2025,županija,ISTARSKA,Domaći,441441,1308565
2025,županija,ISTARSKA,Strani,4549444,27020063
2025,županija,DUBROVAČKO-NERETVANSKA,Ukupno,2172945,8413195
2025,županija,DUBROVAČKO-NERETVANSKA,Domaći,183316,632200
2025,županija,DUBROVAČKO-NERETVANSKA,Strani,1989629,7780995
2025,županija,MEĐIMURSKA,Ukupno,106295,240351
2025,županija,MEĐIMURSKA,Domaći,56920,114684
2025,županija,MEĐIMURSKA,Strani,49375,125667
2025,županija,GRAD ZAGREB,Ukupno,1431885,2721617
2025,županija,GRAD ZAGREB,Domaći,317754,547728
2025,županija,GRAD ZAGREB,Strani,1114131,2173889
