geo,zemlja,godina,pokazatelj,pokazatelj_hr,eurostat_dataset,vrijednost,jedinica,status_api,obs_status,conf_status,vrijednost_dostupna
AT,Austrija,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,77.6,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
BE,Belgija,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,72.8,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
BG,Bugarska,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,77.0,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
CY,Cipar,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,81.3,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
CZ,Češka,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,82.9,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
DK,Danska,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,79.8,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
EE,Estonija,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,81.7,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
FI,Finska,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,76.3,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
FR,Francuska,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,75.4,PC_POP,d,d,bez_objavljene_oznake,da
DE,Njemačka,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,81.1,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
EL,Grčka,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,71.0,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
HR,Hrvatska,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,74.4,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
HU,Mađarska,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,81.1,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
IE,Irska,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,80.2,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
IT,Italija,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,67.6,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
LV,Latvija,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,78.2,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
LT,Litva,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,80.0,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
LU,Luksemburg,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,73.9,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
MT,Malta,2025,stopa_zaposlenosti_20_64,Stopa zaposlenosti stanovništva od 20 do 64 godine,lfsi_emp_a,83.6,PC_POP,bez_objavljene_oznake,bez_objavljene_oznake,bez_objavljene_oznake,da
