osoba,dob,spol,obrazovanje_sifra,obrazovanje,izvor_vijesti_sifra,izvor_vijesti,povjerenje_medijima,minute_medija,spremnost_platiti
1,59,ženski,2,srednja,1,portal,4,231,0
2,50,ženski,2,srednja,4,radio,4,265,0
3,45,muški,3,viša,5,tisak,6,259,55
4,28,muški,1,osnovna,4,radio,3,211,0
5,62,muški,2,srednja,3,TV,6,51,0
6,60,ženski,2,srednja,1,portal,2,185,0
7,40,muški,2,srednja,1,portal,8,229,58
8,34,ženski,2,srednja,1,portal,4,278,0
9,25,ženski,3,viša,1,portal,5,238,0
10,51,ženski,4,diplomska,4,radio,5,250,0
11,31,muški,2,srednja,2,društvene mreže,5,406,0
12,59,ženski,3,viša,2,društvene mreže,6,187,0
13,70,ženski,1,osnovna,3,TV,7,65,0
14,80,muški,2,srednja,3,TV,7,119,0
15,34,muški,2,srednja,2,društvene mreže,4,144,0
16,69,muški,3,viša,4,radio,7,144,0
17,33,muški,4,diplomska,2,društvene mreže,6,170,0
18,22,ženski,2,srednja,1,portal,5,72,0
19,30,muški,3,viša,3,TV,2,110,0
20,64,ženski,2,srednja,3,TV,9,218,0
21,46,ženski,1,osnovna,3,TV,4,168,0
22,24,ženski,2,srednja,3,TV,2,245,0
23,27,ženski,2,srednja,1,portal,2,138,0
24,37,muški,2,srednja,1,portal,6,196,31
25,58,ženski,2,srednja,1,portal,7,128,0
26,54,muški,2,srednja,3,TV,6,117,10
27,67,muški,2,srednja,1,portal,9,189,17
28,27,muški,2,srednja,2,društvene mreže,5,288,0
29,31,ženski,4,diplomska,2,društvene mreže,10,140,12
30,59,ženski,4,diplomska,1,portal,4,246,0
31,51,muški,3,viša,3,TV,6,126,37
32,42,muški,2,srednja,3,TV,5,99,0
33,31,ženski,2,srednja,2,društvene mreže,4,219,0
34,20,ženski,2,srednja,2,društvene mreže,3,184,0
35,40,muški,4,diplomska,1,portal,5,108,8
36,41,muški,3,viša,5,tisak,7,104,14
37,34,ženski,1,osnovna,2,društvene mreže,4,186,0
38,46,muški,2,srednja,3,TV,6,182,0
39,33,muški,3,viša,1,portal,2,153,17
40,35,ženski,2,srednja,1,portal,4,385,0
41,65,ženski,3,viša,3,TV,7,279,0
42,39,ženski,2,srednja,1,portal,4,220,0
43,43,muški,2,srednja,1,portal,7,229,9
44,30,ženski,2,srednja,5,tisak,6,228,0
45,80,ženski,2,srednja,3,TV,6,353,0
46,50,muški,2,srednja,3,TV,4,206,25
47,35,muški,2,srednja,2,društvene mreže,5,123,0
48,73,muški,3,viša,1,portal,5,179,0
49,80,muški,2,srednja,5,tisak,2,204,54
50,62,muški,2,srednja,3,TV,2,122,0
51,20,ženski,2,srednja,2,društvene mreže,4,176,22
52,31,muški,2,srednja,2,društvene mreže,4,156,0
53,34,ženski,3,viša,1,portal,5,199,0
54,32,ženski,2,srednja,2,društvene mreže,4,146,0
55,47,muški,2,srednja,2,društvene mreže,5,116,0
56,22,ženski,3,viša,3,TV,4,203,20
57,30,muški,3,viša,1,portal,3,155,0
58,40,muški,2,srednja,3,TV,5,80,22
59,32,muški,2,srednja,2,društvene mreže,3,228,0
60,21,muški,2,srednja,2,društvene mreže,1,113,0
61,40,muški,2,srednja,1,portal,5,84,0
62,31,muški,3,viša,2,društvene mreže,1,138,0
63,47,muški,1,osnovna,5,tisak,7,136,0
64,50,ženski,2,srednja,3,TV,2,140,0
65,27,muški,3,viša,2,društvene mreže,2,180,0
66,36,muški,3,viša,1,portal,4,104,0
67,54,muški,3,viša,2,društvene mreže,2,192,0
68,34,ženski,2,srednja,1,portal,4,193,0
69,61,muški,3,viša,5,tisak,6,145,20
70,31,ženski,3,viša,5,tisak,4,108,6
71,29,muški,2,srednja,2,društvene mreže,6,181,0
72,80,muški,2,srednja,5,tisak,7,252,0
73,50,ženski,2,srednja,1,portal,6,110,0
74,25,muški,3,viša,3,TV,3,150,0
75,52,muški,1,osnovna,1,portal,6,342,0
76,46,muški,1,osnovna,2,društvene mreže,1,171,0
77,63,ženski,1,osnovna,5,tisak,4,190,0
78,69,muški,3,viša,4,radio,2,234,0
79,51,muški,3,viša,1,portal,10,240,0
80,45,ženski,2,srednja,2,društvene mreže,5,113,0
81,24,muški,3,viša,2,društvene mreže,2,76,0
82,32,muški,1,osnovna,2,društvene mreže,4,211,0
83,25,muški,3,viša,3,TV,4,83,0
84,66,muški,2,srednja,4,radio,5,247,0
85,30,ženski,2,srednja,4,radio,3,320,44
86,31,ženski,1,osnovna,3,TV,5,178,0
87,29,ženski,2,srednja,1,portal,1,85,0
88,36,muški,2,srednja,2,društvene mreže,4,77,0
89,52,ženski,1,osnovna,4,radio,7,177,0
90,69,muški,4,diplomska,3,TV,7,89,0
91,20,ženski,1,osnovna,2,društvene mreže,6,187,25
92,47,muški,1,osnovna,2,društvene mreže,5,137,49
93,55,muški,2,srednja,5,tisak,2,206,22
94,51,muški,3,viša,3,TV,6,219,25
95,29,ženski,4,diplomska,2,društvene mreže,2,89,0
96,53,muški,3,viša,5,tisak,2,102,9
97,53,muški,3,viša,2,društvene mreže,6,136,0
98,48,ženski,2,srednja,1,portal,7,171,33
99,40,ženski,1,osnovna,1,portal,3,132,0
100,53,muški,2,srednja,1,portal,7,89,0
101,25,ženski,4,diplomska,1,portal,2,205,7
102,52,muški,2,srednja,5,tisak,5,83,0
103,30,ženski,1,osnovna,2,društvene mreže,6,105,0
104,48,muški,2,srednja,1,portal,4,204,0
105,34,muški,1,osnovna,2,društvene mreže,4,85,26
106,23,muški,2,srednja,2,društvene mreže,6,257,0
107,35,ženski,1,osnovna,1,portal,10,158,0
108,58,ženski,2,srednja,1,portal,3,157,0
109,47,muški,3,viša,3,TV,3,147,0
110,20,ženski,2,srednja,1,portal,2,93,0
111,23,muški,2,srednja,1,portal,4,36,0
112,72,muški,4,diplomska,3,TV,5,119,0
113,43,ženski,2,srednja,2,društvene mreže,5,93,0
114,46,ženski,2,srednja,1,portal,6,198,0
115,77,ženski,3,viša,2,društvene mreže,4,265,0
116,52,muški,1,osnovna,3,TV,6,240,0
117,22,ženski,2,srednja,1,portal,5,141,0
118,39,muški,2,srednja,4,radio,8,116,24
119,38,ženski,2,srednja,4,radio,5,209,0
120,20,muški,2,srednja,2,društvene mreže,6,176,0
121,33,muški,2,srednja,2,društvene mreže,1,262,0
122,58,muški,2,srednja,5,tisak,6,97,30
123,30,muški,1,osnovna,1,portal,5,114,0
124,61,ženski,2,srednja,3,TV,6,272,0
125,38,ženski,4,diplomska,5,tisak,5,196,0
126,37,ženski,1,osnovna,2,društvene mreže,4,112,0
127,31,ženski,3,viša,3,TV,3,123,0
128,45,muški,1,osnovna,1,portal,5,105,33
129,39,ženski,2,srednja,1,portal,1,230,0
130,26,muški,2,srednja,5,tisak,5,270,0
131,33,ženski,2,srednja,4,radio,6,177,67
132,26,ženski,2,srednja,5,tisak,6,84,0
133,41,ženski,2,srednja,1,portal,5,207,25
134,32,muški,2,srednja,3,TV,3,110,0
135,27,ženski,2,srednja,2,društvene mreže,3,143,23
136,26,muški,3,viša,1,portal,4,126,0
137,33,ženski,3,viša,1,portal,5,141,0
138,49,ženski,1,osnovna,2,društvene mreže,6,142,0
139,19,ženski,1,osnovna,1,portal,6,147,27
140,28,muški,3,viša,1,portal,2,103,0
141,80,ženski,2,srednja,4,radio,7,271,46
142,21,muški,3,viša,5,tisak,6,85,20
