pokazatelj,vrijednost,jedinica
razdoblje_od,2017,godina
razdoblje_do,2025,godina
primatelji,25739,broj
dodjele,96402,broj
iznos_ukupno,5401379738.690001,euro
iznos_prosjek_po_primatelju,209851.96544892967,euro
iznos_medijan_po_primatelju,7000.0,euro
gini,0.9527958131593584,koeficijent
gornjih_1_pct_primatelja,258,broj
gornjih_1_pct_udio_iznosa,71.5683344559208,posto
gornjih_10_pct_primatelja,2574,broj
gornjih_10_pct_udio_iznosa,94.47817960189676,posto
dodjele_ukupno_ukljucene,155638,broj
dodjele_s_valjanim_oib,96402,broj
iznos_iskljucenog_upozorenja_max,18749574621.0,euro
