study_order,lab,n_smile,n_pout,n_total,mean_smile,sd_smile,mean_pout,sd_pout,raw_mean_difference,raw_se,raw_ci_low,raw_ci_high,cohen_d,d_se,d_ci_low,d_ci_high
1,Albohn,67,72,139,4.201493,1.303578,4.062500,1.843429,0.138993,0.272643,-0.395378,0.673363,0.086537,0.169827,-0.246318,0.419391
2,Allard,55,70,125,5.045455,1.562470,4.888095,1.756280,0.157359,0.301626,-0.433817,0.748536,0.094004,0.180286,-0.259349,0.447358
3,Benning,58,57,115,4.688218,1.342853,4.704678,1.425225,-0.016460,0.258181,-0.522485,0.489565,-0.011891,0.186510,-0.377443,0.353662
4,Bulnes,50,51,101,4.606667,1.520182,4.485294,1.285896,0.121373,0.279966,-0.427350,0.670095,0.086279,0.199110,-0.303969,0.476527
5,Capaldi,59,58,117,4.905367,1.536704,5.018678,1.637095,-0.113311,0.293495,-0.688550,0.461928,-0.071388,0.184966,-0.433914,0.291138
6,Chasten,47,47,94,5.005319,1.543297,5.058511,1.412495,-0.053191,0.305165,-0.651304,0.544921,-0.035956,0.206301,-0.440299,0.368386
7,Holmes,49,50,99,4.909864,1.486030,4.706667,1.306191,0.203197,0.281039,-0.347628,0.754023,0.145340,0.201283,-0.249167,0.539848
8,Koch,50,50,100,4.930000,1.323878,5.121667,1.425215,-0.191667,0.275096,-0.730845,0.347512,-0.139345,0.200243,-0.531813,0.253123
9,Korb,51,50,101,4.137255,1.716329,4.118333,1.713384,0.018922,0.341289,-0.649992,0.687836,0.011034,0.199019,-0.379036,0.401103
10,Lynott,59,67,126,4.543785,1.423694,4.177861,1.734473,0.365925,0.285058,-0.192779,0.924628,0.229182,0.179117,-0.121881,0.580245
11,Oosterwijk,53,57,110,4.632075,1.477433,4.871345,1.322320,-0.239270,0.266984,-0.762549,0.284010,-0.171010,0.191167,-0.545690,0.203669
12,Özdoğru,52,35,87,3.766026,1.952460,4.342857,1.940366,-0.576832,0.425825,-1.411432,0.257769,-0.296171,0.219787,-0.726945,0.134604
13,Pacheco-Unguetti,61,59,120,3.780055,1.648655,3.912429,1.843391,-0.132375,0.319017,-0.757637,0.492888,-0.075769,0.182665,-0.433786,0.282248
14,Talarico,57,55,112,4.364035,1.301197,4.339394,1.594894,0.024641,0.274600,-0.513564,0.562847,0.016961,0.189016,-0.353503,0.387425
15,Wagenmakers,65,65,130,4.942308,1.140796,4.788462,1.301465,0.153846,0.214663,-0.266886,0.574579,0.125715,0.175585,-0.218425,0.469855
16,Wayand,53,57,110,4.753145,1.391650,4.954678,1.487637,-0.201534,0.275202,-0.740920,0.337853,-0.139739,0.191051,-0.514192,0.234715
17,Zeelenberg,50,58,108,4.930000,1.397110,4.577586,1.409715,0.352414,0.270925,-0.178590,0.883418,0.251024,0.193735,-0.128688,0.630737
